image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
"273275,121b3e000de485b3c",11,<50,214,11,11,11,11,11,0,22,0,0,0,0,0,11,11
"273275,1220bf000ae484eae",13,<50,286,13,13,13,13,10,0,12,0,0,0,12,12,1,1
"273275,122121000358bbd07",9,<50,93,3,3,3,3,4,0,4,0,5,0,2,1,2,2
"273275,12213c0006c292ab8",25,<50,551,22,24,24,24,28,0,41,0,0,0,0,0,25,24
"273275,1226d2000a659ea2f",7,<50,149,6,6,6,6,8,0,10,0,0,0,0,0,7,6
"273275,1227110001877fc5e",7,<50,132,7,7,7,7,6,0,11,0,0,0,0,0,7,7
"273275,1233260009982e063",3,<50,54,0,0,0,0,4,0,4,0,0,0,0,0,3,0
"273275,123340000ca9ba9bb",7,<50,237,6,6,6,6,10,0,13,0,0,0,0,0,7,6
"273275,1239c10001a10715a",12,<50,887,7,8,9,9,24,0,44,0,0,0,0,0,12,8
"273275,12454000c16e6ff8",59,50-100,745,35,43,46,48,26,0,44,0,3,0,35,26,21,17
"273275,124640000d8e9e9ae",14,<50,733,10,10,13,13,28,0,45,0,0,0,1,1,13,9
"273275,12590e000c96e40d3",3,<50,101,1,1,1,1,3,0,6,0,0,0,0,0,3,1
"273275,1259bf000f819c2e2",6,<50,833,3,4,5,5,6,0,18,0,0,0,0,0,6,4
"273275,1259e50004f75418c",10,<50,169,9,9,9,9,13,0,15,0,0,0,0,0,10,9
"273275,125f0700098e0230d",5,<50,138,0,0,0,0,8,0,8,0,0,0,0,0,5,0
"273275,12616d0007bb3dc8c",26,<50,365,17,20,21,21,16,0,29,0,2,0,19,15,5,5
