image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000271_00201_d_0000375,75,50-100,1000,54,65,70,71,49,0,88,0,48,42,27,23,0,0
0000271_00401_d_0000376,25,<50,597,18,21,23,23,14,0,22,0,16,13,8,7,1,1
0000271_00601_d_0000377,79,50-100,992,50,60,63,67,48,0,83,0,61,47,15,11,3,2
0000271_00801_d_0000378,63,50-100,695,45,52,54,54,36,0,62,0,48,39,15,13,0,0
0000271_01201_d_0000379,59,50-100,926,42,50,53,54,36,0,69,0,36,30,21,18,2,2
0000271_01401_d_0000380,55,50-100,1000,41,49,50,50,46,0,67,0,36,31,17,16,2,2
0000271_01601_d_0000381,48,<50,1000,36,38,42,43,34,0,49,0,34,27,13,10,1,1
0000271_02401_d_0000385,84,50-100,984,47,59,61,65,35,0,60,0,58,38,25,21,1,0
0000271_02601_d_0000386,79,50-100,946,46,67,72,73,48,0,89,0,51,41,23,21,5,5
0000271_03001_d_0000387,56,50-100,1000,45,49,49,49,45,0,67,0,44,38,10,9,2,2
0000271_03801_d_0000391,57,50-100,992,42,50,51,52,36,0,49,0,41,34,16,16,0,0
0000271_04401_d_0000394,86,50-100,1000,52,64,71,76,44,0,78,0,60,44,24,18,2,2
0000271_04801_d_0000396,50,50-100,988,36,43,43,44,31,0,48,0,33,28,17,15,0,0
0000271_05001_d_0000397,90,50-100,1000,48,59,69,70,35,0,60,0,78,51,11,8,1,0
0000271_05201_d_0000398,70,50-100,984,50,56,57,58,39,0,63,0,44,36,24,19,2,1
0000271_05401_d_0000399,71,50-100,959,42,51,53,56,41,0,64,0,50,35,17,12,4,4
0000271_05601_d_0000400,86,50-100,854,51,67,73,75,37,0,62,0,67,50,17,15,2,2
0000271_05801_d_0000401,104,100-150,873,66,80,87,88,48,0,65,0,64,54,36,24,4,2
0000271_06001_d_0000402,158,150-300,998,74,114,131,138,59,0,90,0,106,64,46,44,6,6
0000271_06201_d_0000403,142,100-150,1000,73,105,112,118,50,0,85,0,87,58,53,45,2,2
0000271_06401_d_0000404,128,100-150,997,74,91,101,107,53,0,89,0,74,47,51,41,3,3
0000271_06601_d_0000405,105,100-150,976,77,97,98,100,60,0,84,0,42,37,59,56,4,4
0000271_06801_d_0000406,95,50-100,996,68,85,88,90,68,0,94,0,45,38,46,43,4,4
0000271_07001_d_0000407,58,50-100,964,35,40,46,47,34,0,47,0,42,24,11,11,5,5
0000271_07201_d_0000408,25,<50,716,20,22,22,22,14,0,26,0,22,19,2,2,1,1
0000271_07401_d_0000409,42,<50,689,30,31,33,33,28,0,42,0,17,9,22,19,3,3
0000273_05601_d_0000466,32,<50,878,21,27,28,28,25,0,37,0,7,6,23,19,2,2
0000276_00001_d_0000507,55,50-100,563,43,46,48,48,34,0,62,0,43,34,11,11,1,1
0000276_00401_d_0000509,62,50-100,686,33,42,48,48,32,0,51,0,50,30,12,12,0,0
0000276_00601_d_0000510,37,<50,417,24,26,27,27,21,0,32,0,28,17,8,8,1,1
0000276_01001_d_0000512,42,<50,504,24,31,33,33,21,0,29,0,30,25,12,6,0,0
0000276_01201_d_0000513,29,<50,418,21,25,26,26,14,0,23,0,20,16,9,9,0,0
0000276_01401_d_0000514,25,<50,477,15,16,18,18,12,0,23,0,18,11,5,3,2,2
0000276_01801_d_0000516,21,<50,497,13,14,16,16,6,0,16,0,19,12,1,1,1,1
0000276_02001_d_0000517,15,<50,294,13,14,14,14,8,0,14,0,15,14,0,0,0,0
0000276_02201_d_0000518,41,<50,390,28,30,30,30,18,0,29,0,29,22,11,7,1,1
0000276_02401_d_0000519,48,<50,508,25,34,34,34,13,0,26,0,40,26,7,7,1,1
0000276_02601_d_0000520,32,<50,484,26,29,29,29,16,0,27,0,26,24,6,5,0,0
0000276_02801_d_0000521,37,<50,435,31,31,31,31,17,0,36,0,32,26,3,3,2,2
0000276_03001_d_0000522,38,<50,545,28,33,35,35,21,0,34,0,30,25,8,8,0,0
0000276_03201_d_0000523,60,50-100,641,24,26,33,33,23,0,33,0,54,20,6,6,0,0
0000276_03401_d_0000524,61,50-100,635,34,44,46,46,19,0,32,0,54,38,6,6,1,0
0000276_03601_d_0000525,46,<50,775,36,40,44,44,31,0,56,0,35,29,11,11,0,0
0000276_03801_d_0000526,64,50-100,997,39,49,50,52,33,0,58,0,42,30,21,18,1,1
0000276_04001_d_0000527,54,50-100,768,21,32,38,38,10,0,24,0,40,24,13,8,1,0
0000276_04201_d_0000528,59,50-100,691,52,58,58,58,34,0,63,0,26,25,28,28,5,5
0000276_04401_d_0000529,40,<50,377,40,40,40,40,39,0,51,0,5,5,29,29,6,6
0000276_04601_d_0000530,10,<50,193,9,9,9,9,7,0,11,0,8,7,1,1,1,1
0000276_04801_d_0000531,10,<50,193,8,8,8,8,4,0,11,0,6,4,3,3,1,1
0000276_05001_d_0000532,7,<50,172,7,7,7,7,4,0,10,0,5,5,2,2,0,0
0000276_05201_d_0000533,6,<50,120,5,5,5,5,5,0,5,0,3,2,2,2,1,1
0000276_05601_d_0000535,10,<50,174,5,5,5,5,4,0,7,0,10,5,0,0,0,0
0000276_05801_d_0000536,7,<50,126,6,6,6,6,1,0,3,0,7,6,0,0,0,0
0000276_06001_d_0000537,14,<50,215,8,8,8,8,5,0,9,0,12,6,2,2,0,0
0000277_00001_d_0000539,85,50-100,888,51,59,62,66,49,0,73,0,65,41,19,17,1,1
0000277_00201_d_0000540,83,50-100,973,52,66,67,69,55,0,83,0,51,37,30,27,2,2
0000277_00401_d_0000541,117,100-150,935,60,80,85,90,36,0,64,0,93,59,24,21,0,0
0000277_01401_d_0000546,78,50-100,882,50,58,61,63,50,0,69,0,42,25,34,31,2,2
0000277_01601_d_0000547,78,50-100,902,51,58,62,65,47,0,68,0,45,25,32,32,1,1
0000277_01801_d_0000548,101,100-150,945,62,74,77,81,57,0,91,0,62,40,37,32,2,2
0000277_02001_d_0000549,83,50-100,1000,53,68,73,74,48,0,75,0,36,24,40,37,7,7
0000277_02201_d_0000550,68,50-100,980,50,60,61,63,48,0,78,0,33,26,32,31,3,3
0000277_02401_d_0000551,90,50-100,934,55,69,74,75,51,0,85,0,62,42,25,24,3,3
0000277_02601_d_0000552,121,100-150,983,63,75,84,90,51,0,77,0,94,49,26,25,1,1
0000277_03201_d_0000554,85,50-100,944,45,60,66,68,40,0,72,0,60,36,25,24,0,0
0000277_03401_d_0000555,103,100-150,983,62,81,89,90,50,0,77,0,72,52,31,29,0,0
0000277_03601_d_0000556,59,50-100,717,48,52,52,53,44,0,63,0,25,19,32,31,2,2
0000277_04001_d_0000558,74,50-100,908,53,63,67,67,52,0,71,0,52,41,16,16,6,6
0000277_04201_d_0000559,67,50-100,785,52,56,59,62,49,0,67,0,39,30,24,22,4,4
0000277_04401_d_0000560,70,50-100,931,51,57,58,63,45,0,57,0,34,24,34,31,2,2
0000277_04601_d_0000561,95,50-100,1000,60,70,78,80,51,0,69,0,63,40,30,28,2,2
0000277_05001_d_0000562,97,50-100,995,59,75,80,83,51,0,78,0,61,39,35,35,1,1
