image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000277_05001_d_0000562,97,50-100,645,58,71,75,76,41,0,76,0,61,36,35,34,1,1
0000280_00001_d_0000612,87,50-100,781,44,62,72,73,37,0,65,0,65,43,20,17,2,2
0000280_00201_d_0000613,47,<50,762,32,39,41,41,28,0,51,0,21,14,24,23,2,2
0000280_00401_d_0000614,59,50-100,561,35,41,45,45,25,0,48,0,35,19,22,20,2,2
0000280_00601_d_0000615,74,50-100,764,24,36,44,44,16,0,41,0,57,26,15,9,2,1
0000280_00801_d_0000616,70,50-100,795,39,51,54,56,22,0,49,0,46,31,23,19,1,1
0000280_01001_d_0000617,125,100-150,804,45,57,67,71,33,0,55,0,102,37,21,18,2,2
0000280_01201_d_0000618,134,100-150,639,49,65,73,73,35,0,53,0,97,34,34,28,3,3
0000280_01401_d_0000619,110,100-150,785,50,74,83,88,35,0,60,0,73,46,33,24,4,4
0000280_01601_d_0000620,103,100-150,628,51,75,79,79,35,0,56,0,70,46,30,26,3,3
0000280_01801_d_0000621,90,50-100,473,40,51,53,53,28,0,43,0,72,35,16,14,2,2
0000280_02001_d_0000622,66,50-100,369,50,58,58,58,29,0,38,0,44,37,21,20,1,1
0000280_02201_d_0000623,80,50-100,507,44,57,58,58,30,0,49,0,57,37,20,17,3,3
